topic_id,uuid,target_event,option_A,option_B,option_C,option_D,golden_answer,event_word_count,option_A_len,option_B_len,option_C_len,option_D_len,avg_option_len,context_similarity,event_options_similarity,correct_option_similarity
4,02777771-93de-450d-9a16-b08b25f2e2c8,Videos of the assassination circulated on social media.,The shooter used a handmade gun.,"Security arrested the suspected gunman, Tetsuya Yamagami.",Shinzo Abe became the deputy chief cabinet secretary in the early 2000s.,A man fired twice at Shinzo Abe.,D,8,6,7,12,7,8.0,0.00671174959887076,0.0,0.0
3,42359370-0cc8-475d-bb3e-90623f86e5df,Trump was impeached for a second time on January 13th.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump addressed the crowd.,None of the others are correct causes.,"Trump supporters protested in Washington, D.C.",C,10,16,4,7,6,8.25,0.08778672877110412,0.056566957894833236,0.0
7,a82409ed-dddc-4779-81a7-83a872685c10,The impeachment motion against President Yoon failed.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,None of the others are correct causes.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,B,7,11,7,15,15,12.0,0.2935042947055134,0.16330417452925033,0.0
4,646e4473-68a8-4b6a-8e5a-c788c717f856,Social media companies removed harmful content.,Shinzo Abe became the deputy chief cabinet secretary in the early 2000s.,Yoshihide Suga succeeded Shinzo Abe in September 2020.,Shinzo Abe offered to host a peace summit in 2017.,Videos of the assassination circulated on social media.,D,6,12,8,10,8,9.5,0.0,0.06814834072329272,0.2725933628931709
5,4778d001-0f67-4d20-bf62-7082caa1619b,"On November 10, Musk stated bankruptcy was possible for Twitter if it didn't increase revenue.",Twitter sued Elon Musk to force the acquisition.,Elon Musk changed his profile to ‘Chief Twit’.,None of the others are correct causes.,Elon Musk signed a deal to acquire Twitter in April.,C,15,8,8,7,10,8.25,0.16588276596735832,0.07210112293715251,0.0
10,3be8f056-efa0-44fb-9c18-708e9783a9a9,President Trump announced a plan to impose additional 25% tariffs on Canadian steel and aluminum imports.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",The 16th Amendment was ratified in 1913.,President Trump placed 25% tariffs on imports from Canada.,Ontario placed a 25% tax on electricity exports to the U.S.,C,16,12,7,9,11,9.75,0.3215251618336527,0.1266369069375504,0.443902857620846
7,e172a3e3-df02-46f3-8726-aa8c7e6a40f0,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Yoon's senior aides and defense minister offered to resign.,Hundreds of soldiers stormed the National Assembly.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,"B,D",10,9,7,12,15,10.75,0.6116218454942287,0.11402570170936602,
10,bf0eb115-f4a4-4daa-80db-da92cf132db0,Ontario placed a 25% tax on electricity exports to the U.S.,President Trump placed 25% tariffs on imports from Canada.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",The 16th Amendment was ratified in 1913.,"William McKinley died on Sept. 14, 1901.",A,11,9,12,7,7,8.75,0.005289564541015955,0.05630521238451067,0.22522084953804267
3,ed51a018-52b5-4a61-b4c5-5e8d7efcf137,"The D.C. National Guard was activated, and a citywide curfew was imposed.",The congressional certification of Joe Biden’s victory was halted.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,A woman was shot inside the Capitol and died.,Protesters clashed with police and breached security barriers at the Capitol.,D,12,9,16,9,11,11.25,0.0,0.03711997049437739,0.0
3,e4db47ab-b2ab-43e9-9eaa-682a7bd47b2a,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.","The Capitol was secured, and lawmakers reconvened to continue certification.",The congressional certification of Joe Biden’s victory was halted.,"The Capitol was secured, and lawmakers reconvened to continue certification.",The FBI and ATF cleared the Capitol.,"A,C",19,10,9,10,7,9.0,0.09228487242777345,0.029582748551343876,
8,86d4a0eb-9f28-490a-afb8-ecbfaf87c198,Authorities in Myanmar and Thailand declared a state of emergency.,The earthquake caused significant damage and displacement across Myanmar.,"A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.",Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,"A,D",10,9,10,13,14,11.5,0.11368144837935762,0.06347849813525058,
7,8338df52-8cb2-4fd9-a8d0-c1039d165bf9,"Police, parliament, prosecutors, and the anti-corruption body launched separate investigations into Yoon on treason allegations.",Hundreds of soldiers stormed the National Assembly.,Prime Minister Han Duck-soo became acting president.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Yoon's senior aides and defense minister offered to resign.,A,15,7,7,12,9,8.75,0.1034756602099872,0.01899116276077634,0.0
9,52d7a5d1-8702-4e0d-a66d-b286a098e1fe,Elon Musk gained full command of the federal cost-cutting effort.,Elon Musk contributed $277 million to Trump's and other Republicans' 2024 campaigns.,DOGE representatives spoke with staff at over a dozen federal agencies.,Vivek Ramaswamy withdrew from the project before Mr. Trump assumed office.,The order to halt federal grants was rescinded.,A,10,12,11,11,8,10.5,0.279866981585005,0.08187640421897632,0.17767788112130348
1,34b8e427-2744-4810-99a1-9bd5afcd1068,Northern Ireland and Scotland voted to remain in the EU.,The Conservative Party won the election.,The nation divided into 'remain' and 'leave' camps.,The United Kingdom held a referendum on June 23.,The referendum date was set in February.,C,10,6,8,9,7,7.5,0.09274470985760458,0.03174214918613944,0.0
10,852f25ac-fb9f-4615-8e1d-82e997069167,The US Senate will likely vote on Wednesday on a bill to halt Trump’s tariffs on Canadian imports.,President Trump placed 25% tariffs on imports from Canada.,The 16th Amendment was ratified in 1913.,President Trump placed 25% tariffs on imports from Canada.,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,"A,C,D",18,9,7,9,13,9.5,0.353572056391449,0.1342148870122188,
7,2e0446c7-8953-4797-af2e-bfeda78848e0,"Police, parliament, prosecutors, and the anti-corruption body launched separate investigations into Yoon on treason allegations.",The impeachment motion against President Yoon failed.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,Prime Minister Han Duck-soo became acting president.,B,15,7,15,15,7,11.0,0.1034756602099872,0.04374843617909566,0.10679778433414638
9,ba07fde9-b941-4314-beab-be05b00b00d6,Musk allies took top positions in federal agencies.,Elon Musk and Vivek Ramaswamy increased hiring for DOGE.,Mr. Musk stated DOGE participants will not be paid and requested they work 80-hour weeks.,DOGE representatives spoke with staff at over a dozen federal agencies.,None of the others are correct causes.,D,8,9,15,11,7,10.5,0.18451098740812855,0.09980945487317025,0.0
9,03903c97-50e6-41c1-aa7f-c5a1069a1fae,Mr. Musk stated DOGE participants will not be paid and requested they work 80-hour weeks.,Elon Musk and Vivek Ramaswamy increased hiring for DOGE.,Trump appointed Elon Musk and Vivek Ramaswamy as co-leaders of the Department of Government Efficiency (DOGE).,DOGE representatives spoke with staff at over a dozen federal agencies.,Mr. Trump stated DOGE's purpose is to advise on cutting wasteful spending.,B,15,9,16,11,12,12.0,0.14996054968105654,0.10099218241161881,0.07836110546381951
2,ba580896-6dd8-4ed5-9674-7988371a52b7,The coronavirus pandemic halted the global economy.,COVID-19 forced countries into lockdown.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",A,7,5,15,18,20,14.5,0.1696800710919761,0.02501431810300556,0.0
3,d638de1e-03e4-441c-a16c-d0648508b4cc,"The D.C. National Guard was activated, and a citywide curfew was imposed.",Protesters clashed with police and breached security barriers at the Capitol.,"Trump supporters protested in Washington, D.C.","Trump supporters protested in Washington, D.C.",A woman was shot inside the Capitol and died.,"A,B,C",12,11,6,6,9,8.0,0.0,0.0,
1,2f7f6fee-0378-410b-9bff-16ec9ad94900,David Cameron announced his resignation as Prime Minister.,The referendum date was set in February.,The UK voted to leave the EU in a June 23 referendum.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,Northern Ireland and Scotland voted to remain in the EU.,B,8,7,12,12,10,10.25,0.10291303044959747,0.11898532197865239,0.0
2,5604be11-01e6-49af-a349-95d1aea7e3dd,"Lockdowns obstructed agricultural flow, resulting in hiked food prices, food shortages, malnutrition, and deaths.",The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,"The healthcare system shifted attention to COVID-19 patients, disrupting services for other medical conditions and resulting in many deaths.",The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,The coronavirus pandemic halted the global economy.,"A,C",14,18,19,20,7,16.0,0.0,0.02654390694020003,
3,f2c9911d-2769-4be7-ae16-8e09021fe4f8,Trump was impeached for a second time on January 13th.,Protesters clashed with police and breached security barriers at the Capitol.,"The Capitol was secured, and lawmakers reconvened to continue certification.",Congress confirmed Biden as president in the early hours of January 7th.,Trump urged supporters to march to the Capitol.,"A,D",10,11,10,12,8,10.25,0.08778672877110412,0.06045547197003043,
3,bbeb5531-1965-4864-ac07-5d0303fe1ac4,The FBI and ATF cleared the Capitol.,None of the others are correct causes.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump urged supporters to march to the Capitol.,Five people died during the riots.,A,7,7,16,8,6,9.25,0.15157944382397978,0.03949070001810475,0.0
6,1b02d536-2622-49fc-b31c-b019e63bc9e5,"Democrats won statewide offices in Arizona, North Carolina, Wisconsin, and Michigan.",Trump received more votes from Latino residents than any other Republican presidential candidate in history.,None of the others are correct causes.,"The U.S. House impeached Trump, and the U.S. Senate acquitted him.",Donald Trump was elected the 47th president of the United States.,B,11,15,7,11,11,11.0,0.040573549924598336,0.0,0.0
8,e7ce2cd5-862d-4391-9130-0bbe1ffe6c16,"By April 3, 2025, the death toll from the earthquake reached 4,390 in Myanmar, with over 5,490 injured.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.",Authorities in Myanmar and Thailand declared a state of emergency.,The earthquake caused significant damage and displacement across Myanmar.,The United Nations mobilized help for Myanmar on Friday.,C,18,13,10,9,9,10.25,0.26680636299697974,0.05924692881581036,0.1450631306873361
1,1459833a-35aa-4aeb-a7fb-467b1401fc60,The British pound plunged in value.,The nation divided into 'remain' and 'leave' camps.,The United Kingdom held a referendum on June 23.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,The United Kingdom held a referendum on June 23.,"B,D",6,8,9,12,9,9.5,0.02051177787234338,0.0,
3,05419119-ab62-4af6-9a0f-ea02e2e19f41,"The Capitol was secured, and lawmakers reconvened to continue certification.",A woman was shot inside the Capitol and died.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump addressed the crowd.,The FBI and ATF cleared the Capitol.,D,10,9,16,4,7,9.0,0.16053825918556267,0.048643441857201916,0.10347149214250922
1,ddba874d-9e46-40ed-ba39-bd84f8af3eac,The British pound plunged in value.,The nation divided into 'remain' and 'leave' camps.,The UK voted to leave the EU in a June 23 referendum.,The United Kingdom held a referendum on June 23.,Northern Ireland and Scotland voted to remain in the EU.,"B,C",6,8,12,9,10,9.75,0.02051177787234338,0.0,
1,df82bd07-aa64-48bf-b869-b3b0a6b2971c,Northern Ireland and Scotland voted to remain in the EU.,The United Kingdom held a referendum on June 23.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,The UK voted to leave the EU in a June 23 referendum.,A,10,9,12,10,12,10.75,0.09274470985760458,0.07840526244215482,0.0
1,4c7d47eb-e568-4b00-ad6b-bbdf5a9bd76f,Northern Ireland and Scotland voted to remain in the EU.,None of the others are correct causes.,The Conservative Party won the election.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,The nation divided into 'remain' and 'leave' camps.,A,10,7,6,10,8,7.75,0.09274470985760458,0.06017430894928647,0.0
4,1b01b061-8475-4b9d-beed-514a331eff60,Shinzo Abe promoted the Quadrilateral Security Dialogue (Quad).,Shinzo Abe became the deputy chief cabinet secretary in the early 2000s.,Shinzo Abe reinterpreted Japan's constitution in 2014.,Benjamin Netanyahu visited Tokyo in 2014.,None of the others are correct causes.,D,8,12,7,6,7,8.0,0.2307496605423531,0.07846735373079913,0.0
1,15a0b199-78a3-46c7-bf28-c52a358d78b0,The United Kingdom held a referendum on June 23.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,The nation divided into 'remain' and 'leave' camps.,The Conservative Party won the election.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,"A,C",9,12,8,6,10,9.0,0.0704638195097307,0.024825277525106416,
10,79fa3090-2d23-47b9-88c2-beec999eeaff,President Trump announced a plan to impose additional 25% tariffs on Canadian steel and aluminum imports.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",The 16th Amendment was ratified in 1913.,President Trump placed 25% tariffs on imports from Canada.,Ontario placed a 25% tax on electricity exports to the U.S.,C,16,12,7,9,11,9.75,0.3215251618336527,0.1266369069375504,0.443902857620846
5,91e611df-9479-45b1-b6f9-ae5ecb677459,Musk confirmed charging $8/month for Twitter Blue check marks and removed ID verification.,Twitter sued Elon Musk to force the acquisition.,Elon Musk completed his $44 billion takeover of Twitter.,Musk fired top Twitter executives.,Musk laid off thousands of Twitter employees and contractors.,B,13,8,9,5,9,7.75,0.1755916057464,0.07562974450462812,0.06536660898201507
7,b835e865-4400-436e-8b6a-ca5ef8238bc3,"Police, parliament, prosecutors, and the anti-corruption body launched separate investigations into Yoon on treason allegations.",The impeachment motion against President Yoon failed.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Yoon's senior aides and defense minister offered to resign.,Prime Minister Han Duck-soo became acting president.,B,15,7,15,9,7,9.5,0.1034756602099872,0.04597338715125139,0.09527846828489613
2,b35194fd-6c08-4f2a-aaa0-3e2909d941e1,Many therapists cease in-person client sessions.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,COVID-19 forced countries into lockdown.,President Donald Trump signed a multibillion-dollar emergency aid package.,COVID-19 triggered a financial-market meltdown.,B,6,18,5,9,5,9.25,0.0,0.0,0.0
10,a51d5192-febc-47f4-8bb4-dce27eef06e0,Ontario placed a 25% tax on electricity exports to the U.S.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",Trump previously applied a 25% tariff on many exports from Canada and Mexico.,The 16th Amendment was ratified in 1913.,President Trump placed 25% tariffs on imports from Canada.,"B,D",11,12,13,7,9,10.25,0.005289564541015955,0.10410609259565505,
1,ab358156-75da-4279-b862-e579da8d10e4,The United Kingdom held a referendum on June 23.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,The Conservative Party won the election.,The referendum date was set in February.,The nation divided into 'remain' and 'leave' camps.,"A,B,C",9,12,6,7,8,8.25,0.0704638195097307,0.04239458820150278,
1,1312b795-2012-4788-81ed-c19ac824f61f,Sinn Fein called for a referendum on Irish unity.,The United Kingdom held a referendum on June 23.,The United Kingdom held a referendum on June 23.,The nation divided into 'remain' and 'leave' camps.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,"A,B",9,9,9,8,12,9.5,0.021848213173481068,0.04834608190423466,
8,41fbf37a-4a8c-4fb4-b947-ddbb301bd24e,"By April 3, 2025, the death toll from the earthquake reached 4,390 in Myanmar, with over 5,490 injured.",The earthquake caused the collapse of the Old Sagaing Bridge and several buildings.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",The earthquake caused significant damage and displacement across Myanmar.,"Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","A,B,C",18,13,14,9,13,12.25,0.26680636299697974,0.08468319379260462,
2,dcfa3f99-212b-4503-b384-1f8755fb75b3,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",Chinese authorities identified SARS-CoV-2 as the new coronavirus.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",COVID-19 forced countries into lockdown.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,C,20,8,18,5,18,12.25,0.007947822652772123,0.02474849882187486,0.0
5,8481e5ae-606d-4729-91d8-2a3ca64820eb,"On December 18, Musk ran a Twitter poll asking if he should step down as CEO, with a majority voting yes.",None of the others are correct causes.,The Delaware Chancery Court ordered a Friday deadline for the Twitter acquisition deal to close in early October.,Musk confirmed charging $8/month for Twitter Blue check marks and removed ID verification.,Elon Musk signed a deal to acquire Twitter in April.,A,21,7,18,13,10,12.0,0.17218185349759227,0.05105007679277164,0.0
1,f4d76cea-1b0b-4df1-a6fa-726cb9b07baf,Over three million Brits called for a do-over.,Nicola Sturgeon stated the Scottish government would prepare legislation for a new independence referendum.,Sinn Fein called for a referendum on Irish unity.,Northern Ireland and Scotland voted to remain in the EU.,The UK voted to leave the EU in a June 23 referendum.,D,8,14,9,10,12,11.25,0.0,0.044259470233784015,0.0
8,9d14a051-a1d9-4d3e-ace6-292ec8a6bd91,Authorities in Myanmar and Thailand declared a state of emergency.,"A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.","The earthquake affected Bangkok, Thailand, and tremors were felt in China's Yunnan province.","A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","B,C",10,10,13,14,13,12.5,0.11368144837935762,0.06009908306425062,
7,aea5f8a4-e501-4e97-8e3a-45809c481603,Yoon's senior aides and defense minister offered to resign.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,"A,B,C",9,12,15,12,15,13.5,0.058615513593125286,0.019334404198605118,
3,89cda6f1-ba57-4d79-8873-3f1f26b58848,Five people died during the riots.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump addressed the crowd.,Supporters stormed the U.S. Capitol.,Trump urged supporters to march to the Capitol.,C,6,16,4,5,8,8.25,0.01669211869493508,0.0,0.0
3,b659ff09-d409-4603-a238-ca066225707a,The congressional certification of Joe Biden’s victory was halted.,A woman was shot inside the Capitol and died.,"Trump supporters protested in Washington, D.C.",Trump urged supporters to march to the Capitol.,Trump addressed the crowd.,"B,C",9,9,6,8,4,6.75,0.05281124394736155,0.0,
2,31b0fa64-add2-4fe3-884e-3ba5101586ec,"Lockdowns obstructed agricultural flow, resulting in hiked food prices, food shortages, malnutrition, and deaths.",The coronavirus pandemic halted the global economy.,None of the others are correct causes.,Clinical trials began to test potential treatments and vaccines for COVID-19.,COVID-19 triggered a financial-market meltdown.,B,14,7,7,11,5,7.5,0.0,0.0,0.0
5,456b7e57-1c5f-4c70-a393-3fc7b822dc15,Musk laid off thousands of Twitter employees and contractors.,Elon Musk completed his $44 billion takeover of Twitter.,Twitter sued Elon Musk to force the acquisition.,Musk fired top Twitter executives.,Elon Musk changed his profile to ‘Chief Twit’.,A,9,9,8,5,8,7.5,0.22243183578626308,0.11287066574557512,0.11429921890888295
4,90877484-1f9d-4487-a9fa-e29f2e4a2229,"Security arrested the suspected gunman, Tetsuya Yamagami.",None of the others are correct causes.,Shinzo Abe returned to office in 2012 and later became the longest-serving prime minister.,Shinzo Abe reinterpreted Japan's constitution in 2014.,Shinzo Abe became the youngest prime minister in postwar Japan in 2006.,A,7,7,14,7,12,10.0,0.012150671783096374,0.0,0.0
10,c15348cc-edfe-40ff-95f4-352442c53e15,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.",None of the others are correct causes.,Premier Ford paused Ontario's electricity surcharge.,President Trump reversed his plan to raise tariffs on Canadian steel and aluminum imports.,Trump imposed auto tariffs last week.,A,15,7,6,14,6,8.25,0.21213155916538842,0.04666423504972397,0.0
10,4de1b4d4-85e1-405f-ad03-3a80d9f537e1,The US Senate will likely vote on Wednesday on a bill to halt Trump’s tariffs on Canadian imports.,"Delta Air Lines, Southwest Airlines, and American Airlines lowered their Q1 projections.",Trump previously applied a 25% tariff on many exports from Canada and Mexico.,Trump and Canadian Prime Minister Mark Carney had a call last week.,The S&P 500 fell below its 200-day moving average on Monday.,B,18,12,13,12,11,12.0,0.353572056391449,0.053541530440943855,0.057744906270811594
1,5203c4c2-3556-4363-aff3-89975570270d,David Cameron announced his resignation as Prime Minister.,The UK voted to leave the EU in a June 23 referendum.,The referendum date was set in February.,Northern Ireland and Scotland voted to remain in the EU.,The Conservative Party won the election.,A,8,12,7,10,6,8.75,0.10291303044959747,0.0,0.0
3,7a4df7bb-d7bc-4a2d-a630-237eba579cd1,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.","The Capitol was secured, and lawmakers reconvened to continue certification.",The congressional certification of Joe Biden’s victory was halted.,Congress confirmed Biden as president in the early hours of January 7th.,The FBI and ATF cleared the Capitol.,A,19,10,9,12,7,9.5,0.09228487242777345,0.024950981710118426,0.04503723263897079
7,c2a7eba9-dae1-443e-8fe8-5ad4d544d5d5,Lawmakers voted down the martial law decree.,Hundreds of soldiers stormed the National Assembly.,Hundreds of soldiers stormed the National Assembly.,Yoon's senior aides and defense minister offered to resign.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,"A,B",7,7,7,9,15,9.5,0.1282016971785539,0.0,
2,e352ae30-a0b7-46b6-98ac-e84558fcafab,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,COVID-19 forced countries into lockdown.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",C,20,20,18,5,18,15.25,0.007947822652772123,0.0773317776414899,0.0
1,27b8502e-f0a7-4f33-a1ff-9d154d7a9ca6,Global markets plunged following the Brexit vote.,The nation divided into 'remain' and 'leave' camps.,The UK voted to leave the EU in a June 23 referendum.,The United Kingdom held a referendum on June 23.,The Conservative Party won the election.,"B,C",7,8,12,9,6,8.75,0.08367576777612448,0.0,
3,84cdadc1-4a56-45ef-8f28-3fcba68456e5,The FBI and ATF cleared the Capitol.,"Trump supporters protested in Washington, D.C.",Trump addressed the crowd.,Trump urged supporters to march to the Capitol.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,A,7,6,4,8,16,8.5,0.15157944382397978,0.04397728595664007,0.0
9,4cb41643-cb9c-482e-8a7d-fda38b41ab2b,Musk allies took top positions in federal agencies.,DOGE representatives spoke with staff at over a dozen federal agencies.,Elon Musk and Vivek Ramaswamy increased hiring for DOGE.,Mr. Musk stated DOGE participants will not be paid and requested they work 80-hour weeks.,Trump appointed Elon Musk and Vivek Ramaswamy as co-leaders of the Department of Government Efficiency (DOGE).,D,8,11,9,15,16,12.75,0.18451098740812855,0.10561147426837549,0.050394984047545825
2,ba2c6037-cc57-4c8b-9e82-b3d9b3a91d94,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.","The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",COVID-19 forced countries into lockdown.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.","B,D",20,18,5,18,15,14.0,0.007947822652772123,0.03061889625771609,
4,492aa0a8-e09e-4a1e-a187-3e2c59d95ae9,Shinzo Abe was pronounced dead at 5:03 p.m.,A man fired twice at Shinzo Abe.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Shinzo Abe became the youngest prime minister in postwar Japan in 2006.,Shinzo Abe coined the phrase 'a free and open Indo-Pacific'.,"A,B",8,7,12,12,10,10.25,0.28027467423028635,0.10783472894204686,
10,ebd25334-42ac-441a-9086-8723a7b477e6,The tariff announcement triggered a global meltdown in stock markets.,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,Tariffs on imported steel and aluminum are in effect.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.","William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",C,10,13,9,15,12,12.25,0.05853783689680478,0.030466297300013774,0.05557730365780748
3,0efa357a-a480-49de-97d3-3a9878ec4ca4,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.",The congressional certification of Joe Biden’s victory was halted.,"The Capitol was secured, and lawmakers reconvened to continue certification.","The House and Senate recessed, and the Capitol was locked down.",Trump addressed the crowd.,"B,C",19,9,10,11,4,8.5,0.09228487242777345,0.06364935557479319,
2,3564fd3d-b318-47cb-81d3-75d2d5957ad2,"Lockdowns obstructed agricultural flow, resulting in hiked food prices, food shortages, malnutrition, and deaths.",The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,COVID-19 forced countries into lockdown.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.","A,B,C",14,20,5,20,18,15.75,0.0,0.0,
4,a92042de-bd49-4fa7-bd3e-5cca2fb1b19c,"Security arrested the suspected gunman, Tetsuya Yamagami.",Shinzo Abe visited Jerusalem in 2018.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Shinzo Abe coined the phrase 'a free and open Indo-Pacific'.,Shinzo Abe became the deputy chief cabinet secretary in the early 2000s.,B,7,6,12,10,12,10.0,0.012150671783096374,0.0,0.0
