topic_id,uuid,target_event,option_A,option_B,option_C,option_D,golden_answer,event_word_count,option_A_len,option_B_len,option_C_len,option_D_len,avg_option_len,context_similarity,event_options_similarity,correct_option_similarity
8,7bfb5ecb-4ccd-4189-82a0-88aa88bd8180,Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,"The earthquake affected Bangkok, Thailand, and tremors were felt in China's Yunnan province.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.",The earthquake caused significant damage and displacement across Myanmar.,D,14,13,13,10,9,11.25,0.11779317876373582,0.022749285015026377,0.09099714006010551
5,e1c15d27-c610-4c65-8e50-e3646284d65a,"On December 20, Musk confirmed he will step down as CEO upon finding a replacement and will manage software/servers teams.",Elon Musk entered Twitter headquarters.,The Delaware Chancery Court ordered a Friday deadline for the Twitter acquisition deal to close in early October.,General Motors announced it would suspend its advertising on Twitter.,"On December 18, Musk ran a Twitter poll asking if he should step down as CEO, with a majority voting yes.",D,20,5,18,10,21,13.5,0.0831403733615005,0.07762396038094278,0.23883242313759412
3,6d8aaa14-a3e5-4a1b-9e95-d60f790596cb,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.",Trump addressed the crowd.,Protesters clashed with police and breached security barriers at the Capitol.,"The D.C. National Guard was activated, and a citywide curfew was imposed.",The FBI and ATF cleared the Capitol.,B,19,4,11,12,7,8.5,0.09228487242777345,0.03928175773465728,0.10186211230819456
9,d2d5c55b-8153-4547-86f8-49d1b4c265ea,David Lebryk departed his position at the Treasury Department.,Elon Musk and Vivek Ramaswamy increased hiring for DOGE.,Trump appointed Elon Musk and Vivek Ramaswamy as co-leaders of the Department of Government Efficiency (DOGE).,Mr. Trump stated DOGE's purpose is to advise on cutting wasteful spending.,Elon Musk contributed $277 million to Trump's and other Republicans' 2024 campaigns.,B,9,9,16,12,12,12.25,0.01400219859131867,0.024594858195565162,0.09837943278226065
6,f40b0389-c3d0-46f9-a58b-84bbc329beaa,Trump doubled his percentage of support among Black male voters in specific battleground states.,Two assassination attempts targeted Donald Trump during the election season.,Trump faced state and federal indictments in 2023.,A New York jury found Trump guilty of 34 felony charges in May.,None of the others are correct causes.,D,14,10,8,13,7,9.5,0.12025716435266748,0.031225826841711622,0.0
10,0d8c9dc2-85a4-4cdc-93b3-40681392c610,"The White House did not apply tariffs to Russia, North Korea, Cuba, and Belarus.",None of the others are correct causes.,"The new 10% tariffs will go into effect on Saturday, and reciprocal rates next Wednesday.","William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",Ontario placed a 25% tax on electricity exports to the U.S.,A,14,7,15,12,11,11.25,0.10082886281285038,0.018937559929142474,0.0
4,2adf5366-33ff-4b6a-82cc-ac39e5bf1150,Social media companies removed harmful content.,Shinzo Abe offered to host a peace summit in 2017.,Shinzo Abe visited Jerusalem in 2018.,None of the others are correct causes.,Shinzo Abe promoted the Quadrilateral Security Dialogue (Quad).,C,6,10,6,7,8,7.75,0.0,0.0,0.0
10,829c9ec1-2a91-4d32-bacb-75e4cb060238,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,None of the others are correct causes.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",The 16th Amendment was ratified in 1913.,"William McKinley died on Sept. 14, 1901.",A,13,7,12,7,7,8.25,0.18041752248176085,0.0,0.0
3,0ac62643-44a1-42fe-84b8-7ef1a8e414f2,"The Capitol was secured, and lawmakers reconvened to continue certification.",A woman was shot inside the Capitol and died.,Five people died during the riots.,Trump addressed the crowd.,The FBI and ATF cleared the Capitol.,D,10,9,6,4,7,6.5,0.16053825918556267,0.049593351128538674,0.10347149214250922
7,72a67d96-5731-458b-9024-ccf9acada51d,Prime Minister Han Duck-soo became acting president.,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,"A,C",7,10,15,10,11,11.5,0.07663198043402415,0.038451980634833405,
8,77667706-8df2-449f-b66e-1f00d0ced19c,Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,The earthquake caused significant damage and displacement across Myanmar.,The earthquake caused significant damage and displacement across Myanmar.,"The earthquake affected Bangkok, Thailand, and tremors were felt in China's Yunnan province.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","A,B",14,9,9,13,13,11.0,0.11779317876373582,0.038993034640670686,
3,35213cd6-9721-4146-892b-5762192a5437,Supporters stormed the U.S. Capitol.,"Trump supporters protested in Washington, D.C.",Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump addressed the crowd.,Trump urged supporters to march to the Capitol.,"A,C,D",5,6,16,4,8,8.5,0.3775474235967229,0.14617525503847084,
10,b305590e-6244-4112-87bd-ffef7d1efa08,The US Senate will likely vote on Wednesday on a bill to halt Trump’s tariffs on Canadian imports.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",Trump previously applied a 25% tariff on many exports from Canada and Mexico.,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,President Trump placed 25% tariffs on imports from Canada.,"B,C,D",18,12,13,13,9,11.75,0.353572056391449,0.09620539869016614,
9,ac0d0a30-ca6b-4268-be98-c3132fbeca15,Elon Musk gained full command of the federal cost-cutting effort.,Mr. Musk stated DOGE participants will not be paid and requested they work 80-hour weeks.,Vivek Ramaswamy withdrew from the project before Mr. Trump assumed office.,Elon Musk contributed $277 million to Trump's and other Republicans' 2024 campaigns.,Elon Musk tempered his initial promise for federal spending cuts from $2 trillion to $1 trillion.,C,10,15,11,12,16,13.5,0.279866981585005,0.08100115314259276,0.11102233955150827
4,49a18992-b500-437f-9077-147af814ea8d,World leaders expressed shock and condemned the murder.,Shinzo Abe promoted the Quadrilateral Security Dialogue (Quad).,Shinzo Abe was pronounced dead at 5:03 p.m.,Yoshihide Suga succeeded Shinzo Abe in September 2020.,The shooter used a handmade gun.,B,8,8,8,8,6,7.5,0.012150671783096374,0.0,0.0
10,92f5ebb7-0c78-4dea-8b6a-b46657636097,The US Senate will likely vote on Wednesday on a bill to halt Trump’s tariffs on Canadian imports.,The S&P 500 fell below its 200-day moving average on Monday.,"William McKinley died on Sept. 14, 1901.","The White House did not apply tariffs to Russia, North Korea, Cuba, and Belarus.",None of the others are correct causes.,D,18,11,7,14,7,9.75,0.353572056391449,0.01780941646692556,0.0
3,7ed8a29e-b7cf-48f8-bf5f-b1a43111a741,The congressional certification of Joe Biden’s victory was halted.,Protesters clashed with police and breached security barriers at the Capitol.,A woman was shot inside the Capitol and died.,"The House and Senate recessed, and the Capitol was locked down.",Five people died during the riots.,"A,C",9,11,9,11,6,9.25,0.05281124394736155,0.0,
2,78cf5a2e-5e4d-42f5-9610-7dab93320f48,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",Chinese authorities identified SARS-CoV-2 as the new coronavirus.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.","A,D",20,15,8,18,15,14.0,0.008885012050367468,0.0395880602321217,
2,d1ca4ea5-a142-4e61-824c-e967011af843,Many therapists cease in-person client sessions.,Clinical trials began to test potential treatments and vaccines for COVID-19.,The United States indicted Nicolás Maduro with narco-terrorism and other serious charges on March 26.,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",COVID-19 forced countries into lockdown.,D,6,11,15,20,5,12.75,0.0,0.0,0.0
9,8fd164cb-dce6-46bf-a0c3-e08f6df4b257,Elon Musk gained full command of the federal cost-cutting effort.,Vivek Ramaswamy withdrew from the project before Mr. Trump assumed office.,Elon Musk tempered his initial promise for federal spending cuts from $2 trillion to $1 trillion.,OPM offered federal workers the option to resign with pay.,Elon Musk contributed $277 million to Trump's and other Republicans' 2024 campaigns.,D,10,11,16,10,12,12.25,0.279866981585005,0.09144966671260754,0.12961553557157512
4,bab6b12e-0ba2-4541-8b3c-6a4955646429,World leaders expressed shock and condemned the murder.,Explosives were found at Tetsuya Yamagami's home.,Shinzo Abe coined the phrase 'a free and open Indo-Pacific'.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Shinzo Abe was pronounced dead at 5:03 p.m.,"C,D",8,7,10,12,8,9.25,0.012150671783096374,0.0,
3,30edb568-b4ec-4299-b71b-4f2708f5404a,The FBI and ATF cleared the Capitol.,Supporters stormed the U.S. Capitol.,"Trump supporters protested in Washington, D.C.",Trump addressed the crowd.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,"A,B",7,5,6,4,16,7.75,0.15157944382397978,0.05613416373276801,
2,1f4f2bff-fd90-4bb6-8a05-caf52e5c28ef,The coronavirus pandemic halted the global economy.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,The United States indicted Nicolás Maduro with narco-terrorism and other serious charges on March 26.,COVID-19 forced countries into lockdown.,Chinese authorities identified SARS-CoV-2 as the new coronavirus.,C,7,20,15,5,8,12.0,0.1696800710919761,0.02925869982248983,0.0
6,e6f9bad5-6110-43b9-813f-3e4bf1172ede,Donald Trump was elected the 47th president of the United States.,The FBI warns of fabricated videos misusing its name and insignia.,None of the others are correct causes.,Two assassination attempts targeted Donald Trump during the election season.,"The U.S. House impeached Trump, and the U.S. Senate acquitted him.",B,11,11,7,10,11,9.75,0.42020097178662025,0.06658882493414124,0.0
6,fa730e7f-c50e-4e1f-910c-8a80ebcaaa03,"New African American female senators, the first transgender representative, and the first LGBTQ+ representative from the South were elected.",Donald Trump was elected the 47th president of the United States.,Trump doubled his percentage of support among Black male voters in specific battleground states.,"Democrats won statewide offices in Arizona, North Carolina, Wisconsin, and Michigan.",None of the others are correct causes.,D,19,11,14,11,7,10.75,0.02404779024848977,0.018751899377604426,0.0
7,adba178c-f102-49ae-bb1b-afec871fa76e,"South Korean prosecutors detained former defense minister Kim Yong-hyun, who allegedly recommended the martial law imposition.",None of the others are correct causes.,Lawmakers voted down the martial law decree.,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Yoon's senior aides and defense minister offered to resign.,A,16,7,7,10,9,8.25,0.09866933352241757,0.10135157420149533,0.0
4,bed77fdb-4a0d-40d7-a8dd-af87589904d4,World leaders expressed shock and condemned the murder.,Shinzo Abe offered to host a peace summit in 2017.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Shinzo Abe promoted the Quadrilateral Security Dialogue (Quad).,"B,C",8,10,12,12,8,10.5,0.012150671783096374,0.0,
1,5dabc072-057a-4d3b-9380-f1692ebc90f0,David Cameron announced his resignation as Prime Minister.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,Northern Ireland and Scotland voted to remain in the EU.,The UK voted to leave the EU in a June 23 referendum.,The UK voted to leave the EU in a June 23 referendum.,"C,D",8,10,10,12,12,11.0,0.10291303044959747,0.028020744876917397,
7,c81752e7-b129-4141-b523-88df576bb09d,Lawmakers voted down the martial law decree.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Lawmakers at the National Assembly unanimously annulled martial law.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,A,7,15,12,9,11,11.75,0.1282016971785539,0.1325469133634017,0.15701833523221706
3,ed1e4bc5-8b8a-43e9-9be0-09a80deae50c,"The D.C. National Guard was activated, and a citywide curfew was imposed.",Protesters clashed with police and breached security barriers at the Capitol.,The congressional certification of Joe Biden’s victory was halted.,"Trump supporters protested in Washington, D.C.","Trump supporters protested in Washington, D.C.","A,C,D",12,11,9,6,6,8.0,0.0,0.0,
1,1dfb148f-165c-47e3-a025-9492eff0b6d4,The British pound plunged in value.,The United Kingdom held a referendum on June 23.,The nation divided into 'remain' and 'leave' camps.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,A,6,9,8,10,12,9.75,0.02051177787234338,0.0,0.0
7,2f929bd5-9fb0-4d8a-90ed-c9a33b5bcad6,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,Lawmakers at the National Assembly unanimously annulled martial law.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,"A,B,D",11,9,15,15,15,13.5,0.25103416720510646,0.06777068786204679,
2,f610a514-f71c-42a0-8abe-154dfb793172,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",Chinese authorities identified SARS-CoV-2 as the new coronavirus.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",COVID-19 forced countries into lockdown.,"A,D",20,15,8,18,5,11.5,0.008885012050367468,0.03644816670492428,
3,f46c4634-d399-472d-b579-b4d939c64d71,Congress confirmed Biden as president in the early hours of January 7th.,Trump addressed the crowd.,The FBI and ATF cleared the Capitol.,"The Capitol was secured, and lawmakers reconvened to continue certification.",Supporters stormed the U.S. Capitol.,"B,C,D",12,4,7,10,5,6.5,0.04681985593632605,0.0,
2,9238d1f9-c481-443a-aa43-3501227546df,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.","B,D",20,20,15,18,15,17.0,0.007947822652772123,0.0810650888435509,
1,12dcc663-24d2-40eb-9b71-cb9f3711328c,David Cameron announced his resignation as Prime Minister.,The United Kingdom held a referendum on June 23.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,The United Kingdom held a referendum on June 23.,The referendum date was set in February.,"A,C",8,9,12,9,7,9.25,0.10291303044959747,0.11531524765862078,
2,f8104e86-a59a-4419-a592-5dd7300d3c9d,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,COVID-19 forced countries into lockdown.,Chinese authorities identified SARS-CoV-2 as the new coronavirus.,COVID-19 forced countries into lockdown.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.","A,C",20,5,8,5,18,9.0,0.008885012050367468,0.03638162028038792,
8,6a24df01-2670-41c6-94d2-c7ca76d3e295,"By April 3, 2025, the death toll from the earthquake reached 4,390 in Myanmar, with over 5,490 injured.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.","A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",The earthquake caused the collapse of the Old Sagaing Bridge and several buildings.,"C,D",18,13,10,14,13,12.5,0.26680636299697974,0.06493493140631483,
3,9cbdee01-3c71-44c8-b30a-8824a889eeff,Trump was impeached for a second time on January 13th.,Supporters stormed the U.S. Capitol.,Protesters clashed with police and breached security barriers at the Capitol.,Supporters stormed the U.S. Capitol.,The FBI and ATF cleared the Capitol.,"A,B,C",10,5,11,5,7,7.0,0.08778672877110412,0.0,
6,14dd6eb0-1f0d-4dfa-9a5c-97132112f0da,"Joe Biden sent a second round of $1,200 relief checks.","Democrats won statewide offices in Arizona, North Carolina, Wisconsin, and Michigan.",None of the others are correct causes.,Donald Trump won the popular vote by approximately four million votes.,Two assassination attempts targeted Donald Trump during the election season.,B,10,11,7,11,10,9.75,0.06919178120322296,0.0,0.0
7,5e25e5cb-1bb3-41c6-9161-f13b02a0355f,Prime Minister Han Duck-soo became acting president.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,President Yoon Suk Yeol was immediately suspended from exercising his powers.,Lawmakers voted down the martial law decree.,President Yoon Suk Yeol was immediately suspended from exercising his powers.,"B,D",7,11,11,7,11,10.0,0.07663198043402415,0.04135058655359085,
7,cf8a144a-e21e-4408-9b15-34c6b527341d,"South Korean prosecutors detained former defense minister Kim Yong-hyun, who allegedly recommended the martial law imposition.",Tens of thousands of protesters gathered outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Hundreds of soldiers stormed the National Assembly.,Parliament impeached Yoon’s justice minister and police chief.,B,16,12,15,7,8,10.5,0.09866933352241757,0.04825807334102998,0.11890378170309067
3,967e1695-aa6b-4235-9363-570e4e330bce,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.","Trump supporters protested in Washington, D.C.","The House and Senate recessed, and the Capitol was locked down.",Trump addressed the crowd.,"The D.C. National Guard was activated, and a citywide curfew was imposed.",B,19,6,11,4,12,8.25,0.09228487242777345,0.056402790354706515,0.22561116141882606
7,f596bfa3-d948-4221-9518-fc0f8794d90b,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,The impeachment motion against President Yoon failed.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,"A,D",10,11,12,7,11,10.25,0.6116218454942287,0.09258261976593213,
2,9d53a22c-ff8f-4420-b1ec-668750d72072,The coronavirus pandemic halted the global economy.,None of the others are correct causes.,The United States indicted Nicolás Maduro with narco-terrorism and other serious charges on March 26.,Chinese authorities identified SARS-CoV-2 as the new coronavirus.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,A,7,7,15,8,20,12.5,0.1696800710919761,0.02925869982248983,0.0
3,d4a6a4d5-d9bf-4e09-af91-f09075f4e887,Protesters clashed with police and breached security barriers at the Capitol.,"Trump supporters protested in Washington, D.C.",Trump addressed the crowd.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,"Trump supporters protested in Washington, D.C.","A,B,D",11,6,4,16,6,8.0,0.2162984524417103,0.0,
3,6b6b8c95-6a32-4b9b-80f6-3cd8f37dae8f,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.","The House and Senate recessed, and the Capitol was locked down.",Supporters stormed the U.S. Capitol.,Congress confirmed Biden as president in the early hours of January 7th.,Protesters clashed with police and breached security barriers at the Capitol.,"A,B,D",19,11,5,12,11,9.75,0.09228487242777345,0.08515902646512843,
8,92b1a66d-d936-4c5c-80fa-3ea122d182fe,Myanmar's military-dominated government issued a plea for outside help.,The earthquake caused significant damage and displacement across Myanmar.,The earthquake caused significant damage and displacement across Myanmar.,"A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.",The earthquake caused significant damage and displacement across Myanmar.,"A,B,D",9,9,9,10,9,9.25,0.09464906451793541,0.055001224474329966,
9,bf4d0bba-05ed-4214-8721-f5c01bd9c374,OPM offered federal workers the option to resign with pay.,David Lebryk departed his position at the Treasury Department.,Musk allies took top positions in federal agencies.,Mr. Musk stated DOGE participants will not be paid and requested they work 80-hour weeks.,DOGE representatives spoke with staff at over a dozen federal agencies.,B,10,9,8,15,11,10.75,0.03136774583227461,0.038672856081955975,0.08103698688928546
7,2f84b1d6-f1df-4c1c-80c3-d140b6ccfaa9,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Lawmakers at the National Assembly unanimously annulled martial law.,"A,D",11,15,15,12,9,12.75,0.25103416720510646,0.0388651721609398,
10,4748b126-8ec9-4622-bc1b-faa17f340f24,President Trump announced a plan to impose additional 25% tariffs on Canadian steel and aluminum imports.,None of the others are correct causes.,Ontario placed a 25% tax on electricity exports to the U.S.,The 16th Amendment was ratified in 1913.,"William McKinley died on Sept. 14, 1901.",A,16,7,11,7,7,8.0,0.3215251618336527,0.020055132843502712,0.0
7,0032bdde-651c-4dc8-82d5-316a6dba096d,Yoon's senior aides and defense minister offered to resign.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,"A,B,D",9,12,15,15,12,13.5,0.058615513593125286,0.019334404198605118,
1,fc3fa097-28e1-4388-ba83-935ca5995909,Nicola Sturgeon stated the Scottish government would prepare legislation for a new independence referendum.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,The nation divided into 'remain' and 'leave' camps.,Global markets plunged following the Brexit vote.,Northern Ireland and Scotland voted to remain in the EU.,D,14,10,8,7,10,8.75,0.02563230335741065,0.0,0.0
2,2877d8e3-20a1-4b06-87e7-a95fa999850e,"Lockdowns obstructed agricultural flow, resulting in hiked food prices, food shortages, malnutrition, and deaths.",The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,The coronavirus pandemic halted the global economy.,"The healthcare system shifted attention to COVID-19 patients, disrupting services for other medical conditions and resulting in many deaths.","The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",A,14,20,7,19,18,16.0,0.0,0.02654390694020003,0.0
2,655a85f1-057c-4ed8-bce4-d342fe1efc37,President Donald Trump signed a multibillion-dollar emergency aid package.,COVID-19 triggered a financial-market meltdown.,Chinese authorities identified SARS-CoV-2 as the new coronavirus.,"The healthcare system shifted attention to COVID-19 patients, disrupting services for other medical conditions and resulting in many deaths.",The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,A,9,5,8,19,18,12.5,0.027291265750551442,0.0,0.0
3,56727f61-4ad2-4fb4-a227-1bde3e2b07c5,The congressional certification of Joe Biden’s victory was halted.,Protesters clashed with police and breached security barriers at the Capitol.,"The House and Senate recessed, and the Capitol was locked down.","The House and Senate recessed, and the Capitol was locked down.",Five people died during the riots.,"A,B,C",9,11,11,11,6,9.75,0.05281124394736155,0.0,
7,e5ed78cf-8b53-4cb8-9e72-681b48953015,Yoon's senior aides and defense minister offered to resign.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Lawmakers at the National Assembly unanimously annulled martial law.,"C,D",9,11,15,15,9,12.5,0.058615513593125286,0.030972977410972123,
1,9ed72cdb-3d00-4c20-a58c-9521315ae1a0,Nicola Sturgeon stated the Scottish government would prepare legislation for a new independence referendum.,The UK voted to leave the EU in a June 23 referendum.,The Conservative Party won the election.,The UK voted to leave the EU in a June 23 referendum.,The nation divided into 'remain' and 'leave' camps.,"A,C",14,12,6,12,8,9.5,0.02563230335741065,0.03580600018907408,
2,c6045110-90b7-414e-b345-4af2fa731458,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,Chinese authorities identified SARS-CoV-2 as the new coronavirus.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",COVID-19 forced countries into lockdown.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",D,18,8,18,5,15,11.5,0.004538146991101726,0.01534619464575565,0.0613847785830226
3,bc3db74d-e38e-4f58-a5f4-e55e54affd27,"The D.C. National Guard was activated, and a citywide curfew was imposed.",Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Supporters stormed the U.S. Capitol.,"Trump supporters protested in Washington, D.C.",Protesters clashed with police and breached security barriers at the Capitol.,"B,C,D",12,16,5,6,11,9.5,0.0,0.03711997049437739,
3,67c84393-1faa-4bc9-a783-cf2b17ad20a4,Congress confirmed Biden as president in the early hours of January 7th.,A woman was shot inside the Capitol and died.,Trump addressed the crowd.,The FBI and ATF cleared the Capitol.,Five people died during the riots.,C,12,9,4,7,6,6.5,0.04681985593632605,0.0,0.0
10,13ea4d92-c739-46d5-8e13-3b93cecfca35,The US Senate will likely vote on Wednesday on a bill to halt Trump’s tariffs on Canadian imports.,"The White House did not apply tariffs to Russia, North Korea, Cuba, and Belarus.",The tariff announcement triggered a global meltdown in stock markets.,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.","C,D",18,14,10,13,15,13.0,0.353572056391449,0.06610367785275201,
1,7e88d4ac-0e33-43ea-9b5b-144a665c096d,Over three million Brits called for a do-over.,The referendum date was set in February.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,The nation divided into 'remain' and 'leave' camps.,The United Kingdom held a referendum on June 23.,D,8,7,10,8,9,8.5,0.0,0.0,0.0
3,5814ed9e-f74d-4e19-9a33-2c80888a621d,The FBI and ATF cleared the Capitol.,"Trump supporters protested in Washington, D.C.",Five people died during the riots.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump addressed the crowd.,A,7,6,6,16,4,8.0,0.15157944382397978,0.0,0.0
2,2ad51abf-3c48-4be9-9d22-45f29f2eeca0,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,Chinese authorities identified SARS-CoV-2 as the new coronavirus.,COVID-19 forced countries into lockdown.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.","The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",D,18,8,5,18,15,11.5,0.004538146991101726,0.01534619464575565,0.0613847785830226
