topic_id,uuid,target_event,option_A,option_B,option_C,option_D,golden_answer,event_word_count,option_A_len,option_B_len,option_C_len,option_D_len,avg_option_len,context_similarity,event_options_similarity,correct_option_similarity
4,01d7f748-1191-403b-a108-f8a236a3729f,"Security arrested the suspected gunman, Tetsuya Yamagami.",Shinzo Abe promoted the Quadrilateral Security Dialogue (Quad).,A man fired twice at Shinzo Abe.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Shinzo Abe became the deputy chief cabinet secretary in the early 2000s.,"B,C",7,8,7,12,12,9.75,0.012150671783096374,0.029775130400514976,
3,389c510b-231d-4c9f-a08c-9c18dc7ac98f,Congress confirmed Biden as president in the early hours of January 7th.,Supporters stormed the U.S. Capitol.,Five people died during the riots.,A woman was shot inside the Capitol and died.,Supporters stormed the U.S. Capitol.,"A,D",12,5,6,9,5,6.25,0.04681985593632605,0.0,
7,c51e7180-f20e-442b-a4a5-37559745710a,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Lawmakers at the National Assembly unanimously annulled martial law.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,"A,B,C",11,15,15,9,12,12.75,0.25103416720510646,0.06777068786204679,
3,1d2fd7c9-106f-4643-91af-8ef222bd0316,The congressional certification of Joe Biden’s victory was halted.,Supporters stormed the U.S. Capitol.,Supporters stormed the U.S. Capitol.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump urged supporters to march to the Capitol.,"A,B,D",9,5,5,16,8,8.5,0.05281124394736155,0.0,
2,8f0b275e-28f7-42aa-a158-c4395767bbf6,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,Chinese authorities identified SARS-CoV-2 as the new coronavirus.,COVID-19 forced countries into lockdown.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",B,20,8,5,18,18,12.25,0.008885012050367468,0.04982723076031672,0.0873015315395093
10,e746a660-7501-4f40-af40-277a60534c4f,Premier Ford paused Ontario's electricity surcharge.,None of the others are correct causes.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",Trump previously applied a 25% tariff on many exports from Canada and Mexico.,President Trump placed 25% tariffs on imports from Canada.,A,6,7,12,13,9,10.25,0.0,0.0,0.0
7,efe356e4-51ed-4c26-93a3-bb82e363b44a,Prime Minister Han Duck-soo became acting president.,Lawmakers voted down the martial law decree.,Lawmakers at the National Assembly unanimously annulled martial law.,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,C,7,7,9,10,15,10.25,0.07663198043402415,0.021899656380285775,0.0875986255211431
3,6664ec74-285f-478b-ba3b-98c5faeef0c2,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.","The House and Senate recessed, and the Capitol was locked down.","The House and Senate recessed, and the Capitol was locked down.","The D.C. National Guard was activated, and a citywide curfew was imposed.","The Capitol was secured, and lawmakers reconvened to continue certification.","A,B,D",19,11,11,12,10,11.0,0.09228487242777345,0.09775534983409209,
1,183792ba-5343-46fb-905d-76319f3f2532,Nicola Sturgeon stated the Scottish government would prepare legislation for a new independence referendum.,Northern Ireland and Scotland voted to remain in the EU.,The UK voted to leave the EU in a June 23 referendum.,The nation divided into 'remain' and 'leave' camps.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,"A,B",14,10,12,8,12,10.5,0.02563230335741065,0.02897934519874331,
8,3673796c-9e26-4361-9587-398456db4e5d,Authorities in Myanmar and Thailand declared a state of emergency.,Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,"The earthquake affected Bangkok, Thailand, and tremors were felt in China's Yunnan province.",The United Nations mobilized help for Myanmar on Friday.,The earthquake caused the collapse of the Old Sagaing Bridge and several buildings.,"A,B,D",10,14,13,9,13,12.25,0.11368144837935762,0.06243631704018042,
3,3ee11065-c9d0-4338-b4df-bdb4804faa60,The FBI and ATF cleared the Capitol.,Supporters stormed the U.S. Capitol.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump addressed the crowd.,A woman was shot inside the Capitol and died.,A,7,5,16,4,9,8.5,0.15157944382397978,0.06721574651925016,0.15435065132631018
3,fa9daed6-c26f-4e20-8daf-6d571aa4aec1,The congressional certification of Joe Biden’s victory was halted.,Trump addressed the crowd.,Supporters stormed the U.S. Capitol.,Protesters clashed with police and breached security barriers at the Capitol.,"The House and Senate recessed, and the Capitol was locked down.","B,C,D",9,4,5,11,11,7.75,0.05281124394736155,0.0,
10,69386c5b-5b96-44ff-a2ac-9a2fd29e9adf,Ontario placed a 25% tax on electricity exports to the U.S.,"William McKinley died on Sept. 14, 1901.",The 16th Amendment was ratified in 1913.,None of the others are correct causes.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",C,11,7,7,7,12,8.25,0.005289564541015955,0.0,0.0
10,3d4034f0-1865-41ec-b41b-09f46bdcf8d6,"Delta Air Lines, Southwest Airlines, and American Airlines lowered their Q1 projections.",None of the others are correct causes.,President Trump reversed his plan to raise tariffs on Canadian steel and aluminum imports.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.",Premier Ford paused Ontario's electricity surcharge.,A,12,7,14,15,6,10.5,0.0036591554225569416,0.0,0.0
3,a40f20fe-2dda-4656-af76-a3f07a26bdcb,Five people died during the riots.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Supporters stormed the U.S. Capitol.,Trump urged supporters to march to the Capitol.,Trump addressed the crowd.,B,6,16,5,8,4,8.25,0.01669211869493508,0.0,0.0
3,94d39fb7-dd38-4eea-896d-d9896f4b21fa,The congressional certification of Joe Biden’s victory was halted.,"The House and Senate recessed, and the Capitol was locked down.",A woman was shot inside the Capitol and died.,Five people died during the riots.,Trump addressed the crowd.,A,9,11,9,6,4,7.5,0.05281124394736155,0.0,0.0
7,85af72be-51bf-4aed-8db8-7c6486a2b619,President Yoon Suk Yeol was immediately suspended from exercising his powers.,Yoon's senior aides and defense minister offered to resign.,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Lawmakers at the National Assembly unanimously annulled martial law.,Lawmakers voted down the martial law decree.,B,11,9,10,9,7,8.75,0.2355950500780263,0.10680037478661607,0.3573922285019126
3,da2fb976-f274-4633-bae8-ffca8d22c4fd,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.",Congress confirmed Biden as president in the early hours of January 7th.,The congressional certification of Joe Biden’s victory was halted.,None of the others are correct causes.,"Trump supporters protested in Washington, D.C.",C,19,12,9,7,6,8.5,0.09228487242777345,0.0,0.0
3,7f8e301e-0115-490b-9ce4-019f21a5f226,Twitter removed Trump's tweets and locked his account.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Supporters stormed the U.S. Capitol.,Five people died during the riots.,A woman was shot inside the Capitol and died.,B,8,16,5,6,9,9.0,0.08778672877110412,0.0,0.0
9,05852dde-071a-47ed-9035-2304d3784c90,The United States Digital Service was renamed United States DOGE Service.,The order to halt federal grants was rescinded.,David Lebryk departed his position at the Treasury Department.,Elon Musk tempered his initial promise for federal spending cuts from $2 trillion to $1 trillion.,None of the others are correct causes.,D,11,8,9,16,7,10.0,0.03172145992427598,0.0,0.0
3,d7eed9c3-feff-4362-9d56-e5692a3a6347,Congress confirmed Biden as president in the early hours of January 7th.,A woman was shot inside the Capitol and died.,Trump addressed the crowd.,The FBI and ATF cleared the Capitol.,"The Capitol was secured, and lawmakers reconvened to continue certification.","C,D",12,9,4,7,10,7.5,0.04681985593632605,0.0,
1,b5383e48-eb38-440c-8a04-3a6dd29dff7f,Northern Ireland and Scotland voted to remain in the EU.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,The United Kingdom held a referendum on June 23.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,The referendum date was set in February.,B,10,10,9,12,7,9.5,0.09274470985760458,0.037936034003360264,0.0
9,c0f8a010-019b-4ab8-96c3-7d30ba5ab414,Mr. Musk stated DOGE participants will not be paid and requested they work 80-hour weeks.,Mr. Trump stated DOGE's purpose is to advise on cutting wasteful spending.,Trump appointed Elon Musk and Vivek Ramaswamy as co-leaders of the Department of Government Efficiency (DOGE).,DOGE representatives spoke with staff at over a dozen federal agencies.,Elon Musk contributed $277 million to Trump's and other Republicans' 2024 campaigns.,B,15,12,16,11,12,12.75,0.14996054968105654,0.09595969464286344,0.085424478397882
9,3300203b-f240-4ed0-8bca-3598c618e65a,Trump issued an order to halt federal grants.,Elon Musk contributed $277 million to Trump's and other Republicans' 2024 campaigns.,Musk allies took top positions in federal agencies.,Mr. Musk stated DOGE participants will not be paid and requested they work 80-hour weeks.,None of the others are correct causes.,D,8,12,8,15,7,10.5,0.09512510032659809,0.056128920549202904,0.0
10,3f8dd720-d3fc-4cae-a239-00d555ab12d0,The S&P 500 fell below its 200-day moving average on Monday.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.","The White House did not apply tariffs to Russia, North Korea, Cuba, and Belarus.",Trump announced tariffs on Chinese goods and any country buying oil from Venezuela.,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,A,11,15,14,13,13,13.75,0.042451711903448555,0.0,0.0
5,82e29ae1-0dab-407a-8535-b805077508fa,Musk fired top Twitter executives.,Twitter sued Elon Musk to force the acquisition.,None of the others are correct causes.,The Delaware Chancery Court ordered a Friday deadline for the Twitter acquisition deal to close in early October.,Elon Musk changed his profile to ‘Chief Twit’.,B,5,8,7,18,8,10.25,0.4025031469958252,0.1132455150456534,0.0
1,fced814f-6543-40be-a1f8-05c74e92d4d1,David Cameron announced his resignation as Prime Minister.,The United Kingdom held a referendum on June 23.,The Conservative Party won the election.,The UK voted to leave the EU in a June 23 referendum.,The referendum date was set in February.,"A,C",8,9,6,12,7,8.5,0.10291303044959747,0.0,
3,23892f93-6ed9-458e-b22d-adc6bb2eb87b,Congress confirmed Biden as president in the early hours of January 7th.,Supporters stormed the U.S. Capitol.,A woman was shot inside the Capitol and died.,The FBI and ATF cleared the Capitol.,The FBI and ATF cleared the Capitol.,"A,C,D",12,5,9,7,7,7.0,0.04681985593632605,0.0,
1,ddc7903d-7bba-40f6-8c06-5fd0085f5d0b,The United Kingdom held a referendum on June 23.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,The Conservative Party won the election.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,The nation divided into 'remain' and 'leave' camps.,"B,C",9,10,6,12,8,9.0,0.0704638195097307,0.024825277525106416,
8,c463d379-cac2-4791-840a-40a9bef24194,Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,"The earthquake affected Bangkok, Thailand, and tremors were felt in China's Yunnan province.","A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.",The earthquake caused significant damage and displacement across Myanmar.,"Mandalay General Hospital became full, stopped admitting patients, and lost power and water.",C,14,13,10,9,13,11.25,0.11779317876373582,0.022749285015026377,0.09099714006010551
1,972d5f79-a674-4361-bb35-80d20b350fce,Nicola Sturgeon stated the Scottish government would prepare legislation for a new independence referendum.,Northern Ireland and Scotland voted to remain in the EU.,The referendum date was set in February.,The nation divided into 'remain' and 'leave' camps.,Global markets plunged following the Brexit vote.,A,14,10,7,8,7,8.0,0.02563230335741065,0.02741446747883156,0.0
1,48d03e4c-1497-4831-84b4-6f654a215624,Nicola Sturgeon stated the Scottish government would prepare legislation for a new independence referendum.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,The UK voted to leave the EU in a June 23 referendum.,The British pound plunged in value.,The referendum date was set in February.,B,14,10,12,6,7,8.75,0.02563230335741065,0.03441376173959331,0.059081205346417726
7,35e4c617-1940-42a2-8b6e-bde5ccf77c75,"South Korean prosecutors detained former defense minister Kim Yong-hyun, who allegedly recommended the martial law imposition.",Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,B,16,15,15,10,11,12.75,0.09866933352241757,0.04940713388751161,0.12669293455810637
8,efcfffdf-b372-46dc-ad47-9b5afb87baca,India sent approximately 15 tonnes of relief material to Myanmar via an IAF C-130J aircraft.,"Mandalay General Hospital became full, stopped admitting patients, and lost power and water.",Authorities in Myanmar and Thailand declared a state of emergency.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",The United Nations mobilized help for Myanmar on Friday.,"B,C",15,13,10,14,9,11.5,0.07644721148305532,0.02951913325254927,
7,acc5e4ce-fea5-4a8b-82c2-fca649be3d45,Lawmakers voted down the martial law decree.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Yoon's senior aides and defense minister offered to resign.,Hundreds of soldiers stormed the National Assembly.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,"C,D",7,12,9,7,15,10.75,0.1282016971785539,0.05063488032495869,
7,a51a9e53-c170-45e1-a0c5-62fa3ac71866,Prime Minister Han Duck-soo became acting president.,President Yoon Suk Yeol was immediately suspended from exercising his powers.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,President Yoon Suk Yeol was immediately suspended from exercising his powers.,Lawmakers voted down the martial law decree.,"A,C",7,11,12,11,7,10.25,0.07663198043402415,0.039474538632143986,
1,429b8e22-6e0d-4877-b2f6-40f1074ea77e,Global markets plunged following the Brexit vote.,The referendum date was set in February.,The UK voted to leave the EU in a June 23 referendum.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,B,7,7,12,12,10,10.25,0.08367576777612448,0.0,0.0
4,e35e14f6-12b9-4907-94a8-de1b5121e0d3,Yoshihide Suga succeeded Shinzo Abe in September 2020.,Shinzo Abe became the deputy chief cabinet secretary in the early 2000s.,Shinzo Abe became the youngest prime minister in postwar Japan in 2006.,Shinzo Abe offered to host a peace summit in 2017.,None of the others are correct causes.,D,8,12,12,10,7,10.25,0.23074966054235313,0.0800745690035277,0.0
2,27ff9570-7905-4554-b1d7-7a9d6a09edcd,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.","The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",Chinese authorities identified SARS-CoV-2 as the new coronavirus.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,COVID-19 forced countries into lockdown.,D,20,18,8,20,5,12.75,0.007947822652772123,0.06525819742384689,0.0
2,e59f0654-b232-4275-8133-1b4eaabf4b53,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.","The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",Chinese authorities identified SARS-CoV-2 as the new coronavirus.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,B,20,18,15,8,18,14.75,0.008885012050367468,0.03420482343685355,0.04194802452085428
3,7a89f387-4973-4a54-841e-42677f4dd8cb,Congress confirmed Biden as president in the early hours of January 7th.,"The Capitol was secured, and lawmakers reconvened to continue certification.",Five people died during the riots.,A woman was shot inside the Capitol and died.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,A,12,10,6,9,16,10.25,0.04681985593632605,0.0,0.0
7,8a5bd513-06d9-4a85-b6b4-179a41d78ebe,Lawmakers voted down the martial law decree.,Lawmakers at the National Assembly unanimously annulled martial law.,Hundreds of soldiers stormed the National Assembly.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,"B,C",7,9,7,15,15,11.5,0.1282016971785539,0.13597816437027502,
2,791cbcf2-04dd-4654-a053-65736539f9bd,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,COVID-19 forced countries into lockdown.,COVID-19 forced countries into lockdown.,Chinese authorities identified SARS-CoV-2 as the new coronavirus.,"B,C",20,18,5,5,8,9.0,0.007947822652772123,0.02474849882187486,
10,33b543bc-e14f-4dc3-9d44-d470e46ba18c,The S&P 500 fell below its 200-day moving average on Monday.,"The White House did not apply tariffs to Russia, North Korea, Cuba, and Belarus.","President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.",Tariffs on imported steel and aluminum are in effect.,The tariff announcement triggered a global meltdown in stock markets.,"B,D",11,14,15,9,10,12.0,0.042451711903448555,0.0,
1,3abcc923-a9e0-4788-95f3-520b306ff49b,The United Kingdom held a referendum on June 23.,The nation divided into 'remain' and 'leave' camps.,The Conservative Party won the election.,The Conservative Party won the election.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,"B,C",9,8,6,6,10,7.5,0.0704638195097307,0.0,
3,3d7edb34-875d-466e-b26e-d5a067c22c9e,"The D.C. National Guard was activated, and a citywide curfew was imposed.",The congressional certification of Joe Biden’s victory was halted.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Protesters clashed with police and breached security barriers at the Capitol.,A woman was shot inside the Capitol and died.,C,12,9,16,11,9,11.25,0.0,0.03711997049437739,0.0
3,0951a9fb-1af0-45ff-aee1-64791e053a35,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.",The congressional certification of Joe Biden’s victory was halted.,Protesters clashed with police and breached security barriers at the Capitol.,"The Capitol was secured, and lawmakers reconvened to continue certification.","The D.C. National Guard was activated, and a citywide curfew was imposed.","B,C",19,9,11,10,12,10.5,0.09228487242777345,0.036827264591466416,
9,14692e46-d589-4e99-94c7-a456b939209b,OPM offered federal workers the option to resign with pay.,Elon Musk and Vivek Ramaswamy increased hiring for DOGE.,None of the others are correct causes.,Elon Musk contributed $277 million to Trump's and other Republicans' 2024 campaigns.,DOGE representatives spoke with staff at over a dozen federal agencies.,B,10,9,7,12,11,9.75,0.03136774583227461,0.02513569273970446,0.0
3,15b70c89-77ee-4849-a32e-4740dc8e5c93,"The D.C. National Guard was activated, and a citywide curfew was imposed.","Trump supporters protested in Washington, D.C.",Supporters stormed the U.S. Capitol.,The congressional certification of Joe Biden’s victory was halted.,Supporters stormed the U.S. Capitol.,"A,B,D",12,6,5,9,5,6.25,0.0,0.0,
3,fc74f270-2420-486f-8505-4668d7770271,"The Capitol was secured, and lawmakers reconvened to continue certification.",A woman was shot inside the Capitol and died.,"The D.C. National Guard was activated, and a citywide curfew was imposed.",Trump addressed the crowd.,The FBI and ATF cleared the Capitol.,D,10,9,12,4,7,8.0,0.16053825918556267,0.048643441857201916,0.10347149214250922
8,ccc1f9ee-71d0-4d23-8e73-3fee278c40ee,"By April 3, 2025, the death toll from the earthquake reached 4,390 in Myanmar, with over 5,490 injured.","A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",Authorities in Myanmar and Thailand declared a state of emergency.,"A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.",The earthquake caused the collapse of the Old Sagaing Bridge and several buildings.,"A,D",18,14,10,10,13,11.75,0.26680636299697974,0.07735849037792444,
3,23e3e3bb-54a3-48bf-838c-54c93d0d60b2,"The D.C. National Guard was activated, and a citywide curfew was imposed.",Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,The congressional certification of Joe Biden’s victory was halted.,None of the others are correct causes.,A woman was shot inside the Capitol and died.,C,12,16,9,7,9,10.25,0.0,0.03711997049437739,0.0
1,9fa94de3-f9e8-4899-8472-7535c2b38a45,Sinn Fein called for a referendum on Irish unity.,David Cameron announced his resignation as Prime Minister.,The nation divided into 'remain' and 'leave' camps.,The United Kingdom held a referendum on June 23.,The UK voted to leave the EU in a June 23 referendum.,"C,D",9,8,8,9,12,9.25,0.021848213173481068,0.042709584055158116,
10,ccf6b451-d05a-4add-bb47-55cea7cc9301,The tariff announcement triggered a global meltdown in stock markets.,"William McKinley died on Sept. 14, 1901.",President Trump placed 25% tariffs on imports from Canada.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.",The 16th Amendment was ratified in 1913.,C,10,7,9,15,7,9.5,0.05853783689680478,0.020001048627978257,0.08000419451191303
8,132f4c3e-29b5-406b-aad1-0578a1ecfa20,"By April 3, 2025, the death toll from the earthquake reached 4,390 in Myanmar, with over 5,490 injured.",The earthquake caused significant damage and displacement across Myanmar.,The earthquake caused significant damage and displacement across Myanmar.,"A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.",The earthquake caused significant damage and displacement across Myanmar.,"A,B,D",18,9,9,10,9,9.25,0.26680636299697974,0.10396116929627028,
4,df1ddfbe-88fe-40c5-b6de-33f4153e5fa6,Social media companies removed harmful content.,Videos of the assassination circulated on social media.,A man fired twice at Shinzo Abe.,Benjamin Netanyahu visited Tokyo in 2014.,Shinzo Abe coined the phrase 'a free and open Indo-Pacific'.,A,6,8,7,6,10,7.75,0.0,0.06814834072329272,0.2725933628931709
3,7a530aec-8af2-4347-8d32-03b7dd0a02ba,Congress confirmed Biden as president in the early hours of January 7th.,A woman was shot inside the Capitol and died.,Trump addressed the crowd.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Supporters stormed the U.S. Capitol.,D,12,9,4,16,5,8.5,0.04681985593632605,0.0,0.0
2,de5e1d43-b052-4f12-9b2c-78f0cf10a874,Clinical trials began to test potential treatments and vaccines for COVID-19.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",Chinese authorities identified SARS-CoV-2 as the new coronavirus.,D,11,15,18,20,8,15.25,0.11737662334440951,0.0,0.0
10,e829c7c5-05fd-4311-8c89-9b38edd6ca87,"The new 10% tariffs will go into effect on Saturday, and reciprocal rates next Wednesday.",President Trump reversed his plan to raise tariffs on Canadian steel and aluminum imports.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.",The 16th Amendment was ratified in 1913.,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,B,15,14,15,7,13,12.25,0.18472269778019265,0.06188708299338758,0.16409683358577423
7,59e08446-bb21-4538-a0a7-866ded99ec0c,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Lawmakers voted down the martial law decree.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Lawmakers at the National Assembly unanimously annulled martial law.,Lawmakers voted down the martial law decree.,"A,C,D",10,7,12,9,7,8.75,0.6116218454942287,0.049342223475642905,
7,5c257734-1c5b-4fe3-b276-3e00bac07105,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,Hundreds of soldiers stormed the National Assembly.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Hundreds of soldiers stormed the National Assembly.,"B,C,D",11,15,7,15,7,11.0,0.25103416720510646,0.03857172582923315,
4,bdcdcd5c-bf77-40ae-ba90-8f5633212cd3,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Shinzo Abe offered to host a peace summit in 2017.,Shinzo Abe promoted the Quadrilateral Security Dialogue (Quad).,None of the others are correct causes.,Shinzo Abe became the youngest prime minister in postwar Japan in 2006.,C,12,10,8,7,12,9.25,0.5267987658890642,0.1364322215263625,0.0
4,ab96f31d-3c31-4761-9c4b-66bf5d7bb275,Shinzo Abe was pronounced dead at 5:03 p.m.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,A man fired twice at Shinzo Abe.,Yoshihide Suga succeeded Shinzo Abe in September 2020.,Shinzo Abe returned to office in 2012 and later became the longest-serving prime minister.,"A,B",8,12,7,8,14,10.25,0.28027467423028635,0.1064191835768982,
1,30fa2668-aa28-4ca7-9275-38bda58d8a1e,Global markets plunged following the Brexit vote.,Northern Ireland and Scotland voted to remain in the EU.,The UK voted to leave the EU in a June 23 referendum.,The UK voted to leave the EU in a June 23 referendum.,The Conservative Party won the election.,"B,C",7,10,12,12,6,10.0,0.08367576777612448,0.0,
10,f4607c16-16d0-4043-91a8-a3037312f67f,The tariff announcement triggered a global meltdown in stock markets.,President Trump reversed his plan to raise tariffs on Canadian steel and aluminum imports.,Trump announced tariffs on Chinese goods and any country buying oil from Venezuela.,Tariffs on imported steel and aluminum are in effect.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.","B,D",10,14,13,9,15,12.75,0.05853783689680478,0.020579328435917008,
5,4c721362-3c4a-4551-8507-1b24e9221966,General Motors announced it would suspend its advertising on Twitter.,The Delaware Chancery Court ordered a Friday deadline for the Twitter acquisition deal to close in early October.,Elon Musk completed his $44 billion takeover of Twitter.,Elon Musk changed his profile to ‘Chief Twit’.,Musk fired top Twitter executives.,B,10,18,9,8,5,10.0,0.11822593969499468,0.045704715224049876,0.05914043854019041
2,3932f3ff-2692-4c7e-8e88-0b7adda2d839,President Vladimir Putin endorsed a proposal to remain in office until 2036.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.",COVID-19 forced countries into lockdown.,None of the others are correct causes.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",C,12,15,5,7,18,11.25,0.0,0.0,0.0
10,3f3bf8a7-83e4-4f34-a4a9-32759763685d,President Trump announced a plan to impose additional 25% tariffs on Canadian steel and aluminum imports.,President Trump placed 25% tariffs on imports from Canada.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.","William McKinley died on Sept. 14, 1901.",Ontario placed a 25% tax on electricity exports to the U.S.,A,16,9,12,7,11,9.75,0.3215251618336527,0.1266369069375504,0.443902857620846
10,3c495e44-e3dc-43c3-8d82-eb5aaae2c9f2,The S&P 500 fell below its 200-day moving average on Monday.,President Trump announced a plan to impose additional 25% tariffs on Canadian steel and aluminum imports.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.",Trump previously applied a 25% tariff on many exports from Canada and Mexico.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",B,11,16,15,13,12,14.0,0.042451711903448555,0.0,0.0
